source;target
When will my credit card begin working?;Banking-Activate_Card
Can you assist me in re-enabling a card via automated teller machine?;Banking-Activate_Card
Can I initiate credit card with atm?;Banking-Activate_Card
What should I do to setup my credit card for online payments?;Banking-Activate_Card
I need to activate it my card;Banking-Activate_Card
I got a new card;Banking-Activate_Card
How long does the credit card activation takes?;Banking-Activate_Card
I need your help for mastercard credit card activation;Banking-Activate_Card
I want credit card activation keys;Banking-Activate_Card
I want to activate master card by text;Banking-Activate_Card
I want to activate my card.;Banking-Activate_Card
I want to activate my credit card by internet banking;Banking-Activate_Card
I want to reactive my cancelled card;Banking-Activate_Card
I want to turn on my new visa card;Banking-Activate_Card
Please help me with first time activation for credit card;Banking-Activate_Card
Is pin necessary to activate a card?;Banking-Activate_Card
What are the steps for turning on a new card?;Banking-Activate_Card
What is the process to activate credit card after cancellation?;Banking-Activate_Card
How to initiate a credit card?;Banking-Activate_Card
How do I reactivate a credit card account?;Banking-Activate_Card
make a credit card payment;Banking-Billing_Making_Payments
how can i make credit card repayments;Banking-Billing_Making_Payments
Can I make the monthly payment on my credit card;Banking-Billing_Making_Payments
How do I put money on to my credit card?;Banking-Billing_Making_Payments
How do I make payments on my credit card?;Banking-Billing_Making_Payments
pay off my credit card;Banking-Billing_Making_Payments
pay credit card;Banking-Billing_Making_Payments
make repayments to my credit card;Banking-Billing_Making_Payments
how can i make payments to my credit card;Banking-Billing_Making_Payments
pay my credit card here;Banking-Billing_Making_Payments
how do i pay off my card;Banking-Billing_Making_Payments
credit card repayment;Banking-Billing_Making_Payments
can I make repayments to my credit card;Banking-Billing_Making_Payments
make a cc payment;Banking-Billing_Making_Payments
make a cc repayment;Banking-Billing_Making_Payments
How to deactivate credit?;Banking-Cancel_Card
can you delete my account for this card;Banking-Cancel_Card
How to cancel a credit card without hurting its score?;Banking-Cancel_Card
terminate this line of credit;Banking-Cancel_Card
I am not using credit card tell me how can I deactivate it;Banking-Cancel_Card
I no longer need this credit card;Banking-Cancel_Card
I want to know about credit deactivation process;Banking-Cancel_Card
delete credit card;Banking-Cancel_Card
Do not want a credit card;Banking-Cancel_Card
no longer need the cc;Banking-Cancel_Card
Get rid of this card;Banking-Cancel_Card
How can I cancel my credit card?;Banking-Cancel_Card
Cancel a card;Banking-Cancel_Card
Details on how to apply for cancellation of credit card;Banking-Cancel_Card
How do I close my credit card?;Banking-Cancel_Card
Can you help me cancel this credit card?;Banking-Cancel_Card
permanently remove this card from use;Banking-Cancel_Card
shut down my card;Banking-Cancel_Card
I want to raise request for deactivating my credit card;Banking-Cancel_Card
Please assist me to revoke my credit card;Banking-Cancel_Card
Please revoke my credit card;Banking-Cancel_Card
Tell me the ways through which I can close my credit card;Banking-Cancel_Card
What is the way to deactivate my credit card?;Banking-Cancel_Card
What are the ways for closing credit card?;Banking-Cancel_Card
